,X,y
12587,1870,
12588,the past century,
12589,the first half of the 20th century,
12590,the second half of the century,
12591,1945,
12592,twentieth century,
12593,1914 to 1991,
12594,the period before 1914,
12595,1920–1929,
12596,1929,
12597,1933–45,
12598,today,
12599,Modern-day,
12600,the 19th century,
12601,August 1914,
12602,1914,
12603,1915,
12604,1916,
12605,1917,
12606,eight months,
12607,1917,
12608,spring 1918,
12609,the summer of 1918,
12610,11 November 1918,
12611,1919,
12612,28 June 1919,
12613,1919,
12614,1922,
12615,as early as 1917,
12616,1922,
12617,the early years,
12618,the 1930s,
12619,1940,
12620,1929,
12621,1933,
12622,1919,
12623,1938,
12624,1937,
12625,1931,
12626,1937,
12627,1939,
12628,1938,
12629,1939,
12630,August 1939,
12631,1 September 1939,
12632,spring 1940,
12633,June 1941,
12634,December 1941.Over,
12635,the next year,
12636,September 1940,
12637,7 December 1941,
12638,1943,
12639,1944,
12640,the spring of 1945,
12641,early May,
12642,1942–45,
12643,the 1930s,
12644,1955,
12645,1945 to 1951,
12646,the first decade,
12647,the 1980s,
12648,1989,
12649,1990,
12650,1991,
12651,1995,
12652,2006,
12653,the half century,
12654,decades,
12655,the 1970s,
12656,2013,
12657,1979 to 1991,
12658,1989,
12659,1991,
12660,1993,
12661,1999,
12662,2002,
12663,2004,
12664,2007,
12665,1990,
12666,2008,
12667,17 February 2008,
12668,2009,
12669,May 2010,
12670,three years,
12671,2014,
12672,16 March,
12673,June 2016,
12674,31 January 2020,
12675,Later that year,
12676,2021,
12677,16 years,
12678,2005,
12679,Today,
12680,24 February 2022,
12681,2014,
12682,2016,
12683,2nd ed. 1970,
12684,1998,
12685,1815,
12686,1973,
12687,1815 (1973,
12688,1967,
12689,1967,
12690,13th ed,
12691,1300,
12692,1450,
12693,4 vol 1992,
12694,2140,
12695,1998,
12696,1453,
12697,2013,
12698,2001,
12699,1912,
12700,1982,
12701,1970,
12702,1950,
12703,1997,
12704,1978,
12705,2007,
12706,1990,
12707,1983,
12708,1789 to 1922,
12709,1922,
12710,2013,
12711,4 March 2020,
12712,2014,
12713,1996,
12714,2000,
12715,1600-1947,
12716,2006,
12717,2001,
12718,2013,
12719,9781139019330,
12720,2006,
12721,1648-1840,
12722,1959,
12723,1973,
12724,2003,
12725,9781139053570,
12726,2001,
12727,1997,
12728,1999,
12729,1996,
12730,1984,
12731,2013,
12732,9781139084710,
12733,2010,
12734,2003,
12735,2014,
12736,9780674915909,
12737,2nd ed. 2002,
12738,2002,
12739,2010,
12740,the first millennium,
12741,2 Vol. 1964,
12742,AD 284–641,
12743,2006,
12744,2007,
12745,1979,
12746,1500–1840,
12747,2nd ed. 2000,
12748,1300–1520,
12749,1962,
12750,1999,
12751,2001,
12752,1987,
12753,2008,
12754,2002,
12755,9780198227458,
12756,2001,
12757,1610-1660,
12758,1962,
12759,14-day,
12760,2014,
12761,2014,
12762,1648 - 1815,
12763,9781315837093,
12764,1460-1559,
12765,2nd ed. 1994,
12766,2010,
12767,1412,
12768,2015,
12769,2015,
12770,1350-1750,
12771,9780199597260,
12772,1648-1688,
12773,2003,
12774,1648-1780,
12775,9780203425985,
12776,1450-1789,
12777,2006,
12778,19th century,
12779,1815-1914,
12780,2003,
12781,1789–1914,
12782,2006,
12783,1789–1914,
12784,2000,
12785,A Decade of Revolution,
12786,1934,
12787,1799–1814 (1938,
12788,1961,
12789,1815–1914,
12790,2016,
12791,1800–1914,
12792,2003,
12793,the nineteenth century,
12794,1970,
12795,2003,
12796,1815-1939,
12797,1968,
12798,2011,
12799,1789 to 1914,
12800,1984,
12801,1950,
12802,1921,
12803,2011,
12804,19th Century,
12805,2008,
12806,Europe 1848-1918,
12807,1954,
12808,1923,
12809,1900,
12810,2004,
12811,2009,
12812,2012,
12813,1945,
12814,2001,
12815,1465,
12816,War 1939-1945,
12817,2008,
12818,Twentieth-Century Europe,
12819,2017,
12820,1994,
12821,the 20th Century,
12822,2012,
12823,2015,
12824,9781400865598,
12825,1945,
12826,2006,
12827,1900-1950,
12828,2011,
12829,32,
12830,2000,
12831,1914,
12832,2011,
12833,1905–1949,
12834,9780511820465,
12835,the twentieth century,
12836,2011,
12837,the 20th Century,
12838,1990,
12839,1972,
12840,2015,
12841,1989,
12842,2016,
12843,1954,
12844,2007,
12845,1914,
12846,2005,
12847,9780511818639,
12848,2009,
12849,Twentieth-Century Europe,
12850,2013,
12851,2010,
12852,9780511844867,
12853,152558617,
12854,2010,
12855,9780511794841,
12856,1965,
12857,1925,
12858,the Last Five Centuries,
12859,2013,
12860,1977,
12861,1970,
12862,the 20th Century,
12863,1990,
12864,1994,
12865,1926,
12866,quarter-year,
12867,1958,
12868,2011,
12869,2002,
12870,1815-1939,
12871,1968,
12872,1973,
12873,2013,
12874,1890s to 1914,
12875,1928,
12876,1949,
12877,1713–1933 (1946,
12878,1994,
12879,1933,
12880,1919–1933,
12881,2007,
12882,2011,
12883,1954,
12884,1989,
12885,1781–1997,
12886,2008,
12887,1415 – 1999,
12888,2009,
12889,2008,
12890,1997,
12891,2008,
12892,2012,
12893,2003,
12894,2002,
12895,9780631221647,
12896,5 vol 1973,
12897,2019,
12898,2,
12899,2011,
12900,2016,
12901,9780199352333,
12902,1985,
12903,2010,
12904,4 March 2020,
12905,2017,
12906,1648-1914,
12907,9781315083247,
12908,2010,
12909,4 March 2020,
12910,6 vol 2000,
12911,1750,
12912,1975,
12913,1987,
12914,2017,
12915,9781315180793,
12916,152533804,
12917,2016,
12918,9781315512495,
12919,1139771,
12920,2002,
12921,3 vol 2014,
12922,20 August 2016,
12923,3 vol 2015,
12924,20 August 2016,
12925,1934,
12926,1995,
12927,1993,
12928,1911–1923,
12929,2014,
12930,2014,
12931,2000,
12932,2012,
12933,1994,
12934,1989,
12935,2018,
12936,1986,
12937,2013,
12938,9780199590964,
12939,2018,
12940,2004,
12941,2004,
12942,2005,
12943,Winter,
12944,2nd ed 2005,
12945,Winter,
12946,2nd ed 2020,
12947,1914,
12948,2006,
12949,Winter,
12950,2014,
12951,2014,
12952,2 vol 2013,
12953,1030,
12954,2nd ed 2000,
12955,1997,
12956,1982,
12957,1500–1800 (1996,
12958,9780511997075,
12959,2010,
12960,145632281,
12961,9781350001688,
12962,2019,
12963,9781108683524,
12964,165898969,
12965,the 1960s,
12966,1970s,
12967,present-day,
12968,1967,
12969,1969,
12970,1970,
12971,1972,
12972,1959,
12973,1890-1920,
12974,1972,
12975,2014,
12976,tomorrow,
12977,1988,
12978,2001,
12979,2006,
12980,2003,
12981,1988,
12982,1993,
12983,billions of years,
12984,"about 10,000 years",
12985,the 20th and early 21st centuries,
12986,the 20th century,
12987,1929,
12988,the 1950s,
12989,1922,
12990,the 1960s,
12991,1970s,
12992,1970,
12993,the 1990s,
12994,recent years,
12995,the 18th and 19th centuries,
12996,1977,
12997,1991,
12998,1986,
12999,1995,
13000,present day,
13001,1999,
13002,April 1999,
13003,1999,
13004,Only two years,
13005,2003,
13006,2005,
13007,1999,
13008,2009,
13009,the present day,
13010,the late 20th century,
13011,2006,
13012,2007,
13013,1995,
13014,1999,
13015,1967,
13016,1997,
13017,1600-1860,
13018,1995,
13019,2020,
13020,2001,
13021,"3, 2005",
13022,2007,
13023,978-1933146409,
13024,1990,
13025,1989,
13026,1800-1950,
13027,2006,
13028,2006,
13029,"3, 2005",
13030,2006,
13031,1996,
13032,1977,
13033,2002,
13034,2004,
13035,2006,
13036,1965,
13037,1864,
13038,1996,
13039,1900 to 1980s,
13040,1988,
13041,April 2005,
13042,10 (2004,
13043,1991,
13044,2003,
13045,"36, 2003",
13046,2003,
13047,2003,
13048,1800-1990,
13049,1999,
13050,2005,
13051,1986,
13052,1998,
13053,2006,
13054,2007,
13055,Everyday,
13056,1953–2003,
13057,2010,
13058,2014,
13059,1950s,
13060,1999,
13061,1907,
13062,1921,
13063,1957,
13064,2020,
13065,2009,
13066,1962,
13067,1993,
13068,1983,
13069,1991,
13070,2000,
13071,1993,
13072,1959,
13073,1955–1985,
13074,1987,
13075,1959,
13076,1945 (2000,
13077,2009,
13078,2007,
13079,2012,
13080,1980,
13081,1989,
13082,2009,
13083,1962-1999,
13084,1993,
13085,1991,
13086,2004,
13087,1988,
13088,2009,
13089,2012,
13090,1992,
13091,1985,
13092,2002,
13093,1998,
13094,1945,
13095,0155028553,
13096,2015,
13097,1995,
13098,1492,
13099,2008,
13100,2011,
13101,1994,
13102,2007,
13103,2005,
13104,"3, 2003",
13105,1900-1938,
13106,2006,
13107,1995,
13108,1910-1940,
13109,2012,
13110,1997,
13111,1995,
13112,2018,
13113,1993,
13114,1998,
13115,2008,
13116,2000,
13117,0-89608-608-9,
13118,1999,
13119,1840-1943,
13120,2010,
13121,1998,
13122,1989,
13123,2004,
13124,1998,
13125,2016,
13126,1890-1990,
13127,2001,
13128,1994,
13129,1998,
13130,16,
13131,January 1990,
13132,2001,
13133,2013,
13134,2013,
13135,2007,
13136,2007,
13137,2011,
13138,2010,
13139,1750-2000,
13140,"April 27, 2005",
13141,2002,
13142,1993,
13143,1986,
13144,1993,
13145,1900-1970,
13146,1994,
13147,2005,
13148,2004,
13149,1981,
13150,2010,
13151,1997,
13152,2003,
13153,2005,
13154,1800-1920,
13155,2011,
13156,2014,
13157,2009,
13158,1800-1997,
13159,2000,
13160,2002,
13161,1985,
13162,1984,
13163,2006,
13164,2005,
13165,2000,
13166,0-8021-3943-4,
13167,2005,
13168,21,
13169,2002,
13170,1840-1941,
13171,9(2003,
13172,2016,
13173,1991,
13174,1998,
13175,2007,
13176,2000,
13177,2005,
13178,1788,
13179,2000,
13180,2004,
13181,2007,
13182,1994,
13183,1600–1860,
13184,1994,
13185,2001,
13186,2001,
13187,1998,
13188,"10,000 Years Ago",
13189,2001,
13190,Twentieth-Century,
13191,2002,
13192,1800,
13193,2006,
13194,the 1700s,
13195,1945,
13196,the next fifty years,
13197,2020s,
13198,monthly,
13199,1996–2007,
13200,Volumes 1–12,
13201,1990–1995,
13202,Volumes 34–39,
13203,1976–1989,
13204,Volumes 1–13,
13205,1974–1989,
13206,Volumes 18–33,
13207,1957–1974,
13208,Volumes 1–17,
13209,quarterly,
13210,the 18th century,
13211,1764,
13212,1765,
13213,early 1770,
13214,1774,
13215,1811,
13216,1833,
13217,2 April 1982,
13218,1856,
13219,1856 to 1898,
13220,2021,
13221,1979,
13222,1275,
13223,the early 16th century,
13224,1516,
13225,9 August 1592,
13226,the late 18th century,
13227,1594,
13228,February,
13229,1925,
13230,nine years,
13231,eight years,
13232,24 January 1600,
13233,1684,
13234,1703,
13235,the 1770s,
13236,1690,
13237,1764,
13238,1765,
13239,The next year,
13240,1766,
13241,1767,
13242,early 1770,
13243,10 June,
13244,between 10 July 1770 to 22 January 1771,
13245,1774,
13246,20 May 1776,
13247,the next four years,
13248,1780,
13249,1811,
13250,35 years before,
13251,8 February 1813,
13252,21 February 1813,
13253,The next day,
13254,22 February 1813,
13255,just over a month later,
13256,5 April,
13257,the previous day,
13258,eighteen months,
13259,November 1814,
13260,1829,
13261,March 1820,
13262,October 1820,
13263,6 November 1820,
13264,a few days,
13265,April 1821,
13266,no more than six months,
13267,1822,
13268,1823,
13269,1824,
13270,winter 1826,
13271,1828,
13272,three years,
13273,10 June 1829,
13274,1831,
13275,1833,
13276,1831,
13277,1885,
13278,15 November 1832,
13279,30 December 1832,
13280,3 January 1833,
13281,5 January,
13282,March 1833,
13283,months,
13284,August 1833,
13285,October 1833.Lt,
13286,January 1834,
13287,the previous August,
13288,1834,
13289,1841,
13290,1834,
13291,April 1838,
13292,September 1839,
13293,December 1839.Vernet,
13294,many years before,
13295,1836,
13296,1837,
13297,November 1836,
13298,winter,
13299,May,
13300,63,
13301,mid-summer,
13302,May 1840,
13303,1833,
13304,1843,
13305,1 October 1841,
13306,later that month,
13307,1842,
13308,1843,
13309,July 1843,
13310,Inn July 1845,
13311,1845,
13312,The following year,
13313,1845,
13314,February 1849,
13315,the 1840s,
13316,19th-century,
13317,the 19th century,
13318,1876,
13319,the 1890s,
13320,1914,
13321,the 20th century,
13322,the latter half of the century,
13323,1847,
13324,1859,
13325,1849,
13326,1854,
13327,1854,
13328,1887,
13329,1878,
13330,1886,
13331,1878,
13332,1886,
13333,1892,
13334,1903,
13335,1933,
13336,1892,
13337,A few years,
13338,1852,
13339,the 1830s,
13340,1846,
13341,1846,
13342,1846,
13343,1849,
13344,1849,
13345,1850,
13346,1852,
13347,1860,
13348,the second half of the 19th century,
13349,1866,
13350,A few years later,
13351,1874,
13352,1880.From the 1880s,
13353,1972,
13354,the 1770s,
13355,1909,
13356,1917,
13357,the early 19th century,
13358,summers months,
13359,1881,
13360,1921,
13361,the mid-1850s,
13362,1860,
13363,the 1880s,
13364,Twentieth century,
13365,the 1880s,
13366,1897,
13367,1911,
13368,1906,
13369,1907,
13370,1927,
13371,the 1950s,
13372,1982,
13373,1997,
13374,2002,
13375,1911,
13376,a mere year later,
13377,1922,
13378,1927,
13379,1979,
13380,The mid-20th century,
13381,the 19th century,
13382,the 1950s,
13383,1956,
13384,a few years earlier,
13385,the 1970s,
13386,3 September 1939,
13387,December 1939,
13388,1942,
13389,1944,
13390,July 1944,
13391,1953,
13392,the 1960s,
13393,1964,
13394,28 September 1966,
13395,a week,
13396,three years,
13397,nine months,
13398,October of the same year,
13399,1982,
13400,November 1968,
13401,1964,
13402,1966,
13403,August,
13404,December 1968,
13405,the 1960s,
13406,1970s,
13407,the end of the Falklands War,
13408,1971,
13409,1972,
13410,1976,
13411,1975,
13412,1976,
13413,October 1975,
13414,1976,
13415,1977,
13416,1977,
13417,1982,
13418,2 April 1982,
13419,seven weeks later,
13420,14 June 1982,
13421,10 January,
13422,November 2008,
13423,1985,
13424,the years,
13425,recent years,
13426,38 years,
13427,November 2020.In 1983,
13428,1985,
13429,1982,
13430,1989,
13431,the 1990s,
13432,1998,
13433,2001,
13434,11 July 1982,
13435,26 September 1983.Later,
13436,1985,
13437,weekly,
13438,the late 1980s,
13439,14 September 2011,
13440,2016,
13441,1990,
13442,1999,
13443,the 1990s,
13444,1987,
13445,2000,
13446,the 19th century,
13447,1858,
13448,the mid-19th century,
13449,the 16th century,
13450,the 1620s,
13451,the 1780s,
13452,1800,
13453,the early 20th century,
13454,1912,
13455,1925,
13456,Before 1900,
13457,the early 18th-century,
13458,the 1720s,
13459,the mid century,
13460,"July 2, 1747",
13461,"September 22, 1813",
13462,1770 to 1793,
13463,the early 19th century,
13464,the first half of the 19th-century,
13465,1825 - 1905,
13466,"February 1, 1853",
13467,the early decades of the 20th century,
13468,1900s,
13469,1871-1914,
13470,the end of the 19th century,
13471,the 19th century,
13472,one season,
13473,the decade,
13474,around 1908,
13475,the end of the decade,
13476,1910s,
13477,the early years of the 1910s,
13478,the 19th century,
13479,1910,
13480,the 19th century,
13481,1915,
13482,1920,
13483,1920s,
13484,around 1925,
13485,the 1920s,
13486,about 1901,
13487,the 1920s,
13488,1925,
13489,the 1920s,
13490,all day,
13491,the 1920s,
13492,the 1920s,
13493,1929,
13494,1930,
13495,1933,
13496,1930s,
13497,the 1930s,
13498,1930s,
13499,the decade,
13500,the 1920s,
13501,the 1930s,
13502,1929,
13503,the day,
13504,21,
13505,1939,
13506,the early 1930s,
13507,the end of the decade,
13508,the end of the,
13509,Mid-twentieth century,
13510,the 1950s,
13511,more than a year,
13512,1940s,
13513,1940,
13514,the '40s,
13515,the 1940s,
13516,1944,
13517,February 1947,
13518,1950s,
13519,the 1950s,
13520,the previous decade,
13521,the 1920s,
13522,1930s,
13523,the 1950s,
13524,the late 1930s,
13525,the post-war years,
13526,1951,
13527,1955,
13528,1957,
13529,1959,
13530,1952,
13531,1945,
13532,1952,
13533,the war years,
13534,1954,
13535,February 5,
13536,1952,
13537,1942,
13538,1948,
13539,1947,
13540,the early 1950s,
13541,1957,
13542,1959,
13543,1950s,
13544,the second half of the 1950s,
13545,some years earlier,
13546,the 1920s,
13547,the 1930s,
13548,the 1950s,
13549,the decade,
13550,the end of the decade,
13551,1960s,
13552,the 1960s,
13553,between 1960 and 1969,
13554,1960s,
13555,30 years,
13556,'60s,
13557,the 1920s,
13558,the start of the decade,
13559,1965,
13560,the end of the decade,
13561,1965,
13562,the previous decade,
13563,1961,
13564,1963,
13565,1965,
13566,'60s,
13567,the 1960s,
13568,today,
13569,the 1960s,
13570,1966,
13571,the 1960s,
13572,the early 1960s,
13573,the decade,
13574,1963,
13575,late in the decade,
13576,1970s,
13577,' decade,
13578,the 1970s,
13579,The decade,
13580,the late 1960s,
13581,1970s,
13582,1974,
13583,1977,
13584,1975,
13585,the entire decade,
13586,1970s,
13587,the 1970s,
13588,1974,
13589,this day,
13590,1971,
13591,the mid-1960s,
13592,1985,
13593,"the 1920s,",
13594,30s,
13595,40s,
13596,50s,
13597,the decade,
13598,the 1970s,
13599,the 1970s,
13600,1930s,
13601,1977,
13602,1962,
13603,the 1970s,
13604,the 1970s,
13605,the end of the 1960s,
13606,the 1970s,
13607,a whole century,
13608,1930s,
13609,the end of the 1970s,
13610,the 1970s,
13611,1975,
13612,1981,
13613,1957,
13614,1976,
13615,Two years later,
13616,Late twentieth century,
13617,the late 20th century,
13618,two decades,
13619,1980s,
13620,1980s,
13621,the decade,
13622,the decade,
13623,1982,
13624,1970s,
13625,the 1980s,
13626,the '80s,
13627,the 1980s,
13628,the 1980s,
13629,the 1980s,
13630,the 1980s,
13631,1981,
13632,the end of the 20th-century,
13633,1984,
13634,1971,
13635,1978,
13636,the 1980s,
13637,1986,
13638,the 1980s,
13639,80s,
13640,the beginning of the 1990s,
13641,1990s,
13642,the 1990s,
13643,1970s,
13644,1980s,
13645,the 1990s,
13646,the end of the decade,
13647,the decade,
13648,the end of the 20th century,
13649,the 1980s,
13650,the 1960s,
13651,1970s,
13652,the 1990s,
13653,1921,
13654,the end of the 1960s,
13655,the 1990s,
13656,the present day,
13657,1994,
13658,1998,
13659,Today,
13660,2006,
13661,the 1990s,
13662,1923,
13663,two years,
13664,the 1980s,
13665,1980,
13666,the 1990s,
13667,the late 1990s,
13668,the 1990s,
13669,the 1980s,
13670,the 1990s,
13671,1991,
13672,1995,
13673,the 1990s,
13674,the early 1990s,
13675,18th-century,
13676,the early and mid-1990s,
13677,1912-1925,
13678,"June 13, 2018",
13679,2003,
13680,2015,
13681,1993,
13682,1994,
13683,"Giroux, 1999",
13684,2002,
13685,2005,
13686,1-85973-814-1,
13687,2002,
13688,1998,
13689,1994,
13690,9780870997273,
13691,2010,
13692,the nineteenth century,
13693,1994,
13694,2016,
13695,1998,
13696,Fifty Years,
13697,2000,
13698,2005,
13699,the end of the last glacial period,
13700,"1,300 AD",
13701,the 12th century,
13702,the 13th century,
13703,1809,
13704,the 19th century,
13705,this era,
13706,1917,
13707,a few months later,
13708,1918,
13709,the latter half,
13710,the 1970s,
13711,1970,
13712,1990,
13713,1992,
13714,1995,
13715,2002,
13716,2016,
13717,2022,
13718,"approximately 125,000 years old",
13719,the end of the last ice age,
13720,Between 3500 and 2000,
13721,recent years,
13722,annually,
13723,approximately to the 2nd millennium,
13724,the 12th and 13th centuries,
13725,1 AD,
13726,400 AD,
13727,575 AD,
13728,575 AD,
13729,"800 AD – 1025 AD
Crusade",
13730,1033 AD – 1300,
13731,12th- and 13th-century,
13732,the 11th century,
13733,1 AD,
13734,400 AD,
13735,400 AD,
13736,575 AD,
13737,575 AD,
13738,this era,
13739,the 8th century,
13740,about 50 AD,
13741,the end of the,
13742,early Medieval Ages,
13743,the 2nd millennium,
13744,the 12th century,
13745,the 13th and 14th centuries,
13746,the Viking Period,
13747,the 11th century,
13748,the 11th century,
13749,the 12th century,
13750,late 13th century,
13751,the mid-1150s,
13752,the early 13th century,
13753,12th century,
13754,the early 13th century,
13755,1249,
13756,1278,
13757,1293,
13758,1323,
13759,the 13th century,
13760,1249,
13761,the early 14th century,
13762,the 12th and 13th centuries,
13763,today,
13764,the 18th century,
13765,the 11th century,
13766,between 1350 and 1470,
13767,the 15th century,
13768,the 15th to 18th centuries,
13769,the 13th century,
13770,today,
13771,1362,
13772,that year,
13773,1323,
13774,1348,
13775,the late 14th and 15th centuries,
13776,the 1380s,
13777,1389,
13778,those days,
13779,The next 130 years or,
13780,the 15th century,
13781,the end of the 15th century,
13782,1495,
13783,1497,
13784,= 16th century,
13785,1521,
13786,1551,
13787,1550,
13788,more than two centuries,
13789,1560,
13790,1561,
13791,160 years,
13792,1595,
13793,16th-century,
13794,the 1580s,
13795,17th century,
13796,1611–1632,
13797,1630,
13798,the Thirty Years' War,
13799,1648,
13800,1637–1640,
13801,1648–1654,
13802,1640,
13803,1642,
13804,1655–1660,
13805,1676,
13806,the late 17th century,
13807,between 1638 and 1655,
13808,The 17th century,
13809,1608,
13810,1664,
13811,1696–1699,
13812,18th century,
13813,1721,
13814,this Age of Liberty,
13815,1749,
13816,The mid-18th century,
13817,1771,
13818,1788,
13819,1789,
13820,the last decades of the 18th century,
13821,the 1750s,
13822,1784,
13823,only a year,
13824,the turn of the 19th century,
13825,1792,
13826,1721,
13827,1743,
13828,the 18th century,
13829,1797,
13830,1812,
13831,the 1870s,
13832,the 19th century,
13833,1596–1597,
13834,the 1680s,
13835,1550,
13836,1750,
13837,1770,
13838,1790,
13839,1810,
13840,1830,
13841,1850,
13842,1870,
13843,1890,
13844,1910,
13845,1930,
13846,1950,
13847,1970,
13848,1990,
13849,2010,
13850,2015,
13851,2020,
13852,29 March 1809,
13853,17 September 1809,
13854,the end of 1917,
13855,1812,
13856,the years,
13857,the two last decades,
13858,the 1860s,
13859,1860,
13860,1860,
13861,1860,
13862,the mid-19th century,
13863,the 1850s,
13864,1869,
13865,two years,
13866,the mid-19th century,
13867,1835,
13868,the 16th and 17th centuries,
13869,19th-century,
13870,1863,
13871,1892,
13872,the 1920s,
13873,the 1830s,
13874,the 1860s,
13875,the 1860s to 1880s,
13876,1880,
13877,the early 1900s,
13878,the early 19th century,
13879,1869,
13880,1889,
13881,1790,
13882,1790,
13883,the 1880s,
13884,since 1939,
13885,1930,
13886,April 1892,
13887,1809,
13888,half a century,
13889,1863,
13890,the remaining decades of the century,
13891,the next century,
13892,1899–1905 and 1908–1917,
13893,'times/years,
13894,1899,
13895,1900,
13896,1901,
13897,1906,
13898,1905,
13899,1905,
13900,1917,
13901,the 21st century,
13902,1880s,
13903,1890s,
13904,20th century,
13905,1910s,
13906,1920s,
13907,1930s,
13908,1940s,
13909,1950s,
13910,the late 20th century,
13911,1916,
13912,summer,
13913,August 1917,
13914,15 November 1917,
13915,the same day,
13916,6 December 1917,
13917,18 December,
13918,31 December N. S.,
13919,22 December,
13920,4 January 1918,
13921,1917,
13922,January to May 1918,
13923,November  1918,
13924,1919,
13925,1934,
13926,the 1920s,
13927,16 December 1920,
13928,1733,
13929,the 19th century,
13930,the 1880s,
13931,1910s,
13932,1919,
13933,early 1932,
13934,1929,
13935,1932,
13936,1920,
13937,1923,
13938,the 1930s,
13939,the 1930s,
13940,1937,
13941,August 1939,
13942,the summer of 1940,
13943,October 1939,
13944,30 November 1939,
13945,the beginning of the,
13946,two months,
13947,late January 1940,
13948,February,
13949,March,
13950,13 March 1940,
13951,autumn 1940,
13952,December 1940,
13953,June 1941,
13954,1941 to 1944,
13955,1944,
13956,1944,
13957,1942,
13958,19 September 1944,
13959,1948,
13960,19 September 1944,
13961,1947,
13962,1939,
13963,late 1940,
13964,today,
13965,1947,
13966,1948,
13967,1947,
13968,a year later,
13969,1948,
13970,1991,
13971,1952,
13972,the 1950s and 1960s,
13973,the 1970s,
13974,1955,
13975,That same year,
13976,1972–1977,
13977,1983–1988,
13978,1991–1998,
13979,1972,
13980,1955,
13981,1948,
13982,50 years,
13983,1949,
13984,1948,
13985,the 1950s,
13986,1961,
13987,1986,
13988,1973,
13989,the 1980s,
13990,the beginning of the 1970s,
13991,the 1960s,
13992,1972–1973,
13993,1975,
13994,1940,
13995,As late as 1950 half,
13996,1947,
13997,1973,
13998,1969,
13999,1970,
14000,the 1990s,
14001,2000,
14002,1972,
14003,the early 1990s,
14004,The five decades,
14005,1991,
14006,the 1980s,
14007,1993,
14008,1991,
14009,1991,
14010,the end of the year,
14011,March 1992,
14012,16 April 1994,
14013,1 January 1995,
14014,1995–2003,
14015,autumn 2008,
14016,24 February 2022,
14017,25 February,
14018,1927,
14019,1917–1926,
14020,1999,
14021,1809,
14022,1984,
14023,1994,
14024,2006,
14025,9780313328374,
14026,2011,
14027,1900,
14028,1981,
14029,1808–1914,
14030,1974,
14031,9789511013662,
14032,1998,
14033,9780521647014,
14034,1965,
14035,2014,
14036,2014,
14037,1902,
14038,1987,
14039,2015,
14040,2020,
14041,2018,
14042,1808–1920,
14043,1975,
14044,2004,
14045,1983,
14046,2004,
14047,1970,
14048,1986,
14049,2003,
14050,January 2015,
14051,1): 127–149,
14052,1998,
14053,9780803241893,
14054,2021,
14055,1991,
14056,1980,
14057,1917–1918,
14058,1948,
14059,1931,
14060,March 1979,
14061,Nineteenth century,
14062,19–29,
14063,20 October 2016,
14064,2020,
14065,2019,
14066,June 2000,
14067,2,
14068,143599705,
14069,1820 to 1910,
14070,2012,
14071,482–504,
14072,2012,
14073,2011,
14074,17.4,
14075,2019,
14076,1980,
14077,2018,
14078,2022,
14079,the first millennium,
14080,the late 2nd century,
14081,the late 5th century,
14082,hundreds of years,
14083,1328,
14084,the Hundred Years' War,
14085,1337,
14086,1453,
14087,the Hundred Years' War,
14088,the next centuries,
14089,the Bourbon dynasty,
14090,the 16th century,
14091,the late 18th century,
14092,1870,
14093,1940,
14094,1942,
14095,1944,
14096,1958,
14097,1960s,
14098,1945,
14099,recent years,
14100,the 21st century,
14101,1968,
14102,2009,
14103,"about 40,000 years ago",
14104,"43,000 years ago",
14105,the 1st millennium,
14106,the late 2nd century,
14107,3rd century,
14108,the 3rd century,
14109,the early 3rd century,
14110,centuries,
14111,the decade,
14112,the 4th century,
14113,Goths,
14114,the Carolingian dynasty,
14115,This emerging dynasty,
14116,Capetian Dynasty,
14117,five days,
14118,1316,
14119,the Middle Ages,
14120,The 11th century,
14121,centuries,
14122,the 16th century,
14123,1328,
14124,Goths,
14125,1023,
14126,1127,
14127,1137,
14128,1137,
14129,two years later,
14130,the late Middle Ages,
14131,1179–80,
14132,the Capetian dynasty,
14133,1214,
14134,twelve years old,
14135,1229,
14136,1229,
14137,1230,
14138,1242,
14139,1270,
14140,1285,
14141,the Hundred Years' War,
14142,1328–1453,
14143,Hundred Years',
14144,the period 1337 to 1453,
14145,1420,
14146,the Hundred Years' War,
14147,the Hundred Years' War,
14148,1421,
14149,1356,
14150,1415,
14151,1429,
14152,1450,
14153,1453,
14154,1461,
14155,1789,
14156,1484,
14157,1700,
14158,around 1700,
14159,1700,
14160,1600,
14161,1547,
14162,1484,
14163,1700,
14164,the 17th century,
14165,1500-1558,
14166,1517-1582,
14167,16th centuries,
14168,1477,
14169,1532,
14170,the beginning of early,
14171,1543,
14172,the 16th century,
14173,7 January 1558,
14174,16th century,
14175,16th century,
14176,1550,
14177,the 16th century,
14178,1559,
14179,Between 1555 and 1562,
14180,1551,
14181,1562,
14182,1559,
14183,the early years,
14184,1572,
14185,December 1588,
14186,1589,
14187,1598,
14188,1610,
14189,1620,
14190,1629,
14191,Thirty Years' War,
14192,Thirty Years',
14193,1636,
14194,1642,
14195,one year later,
14196,1643,
14197,1647,
14198,1648,
14199,1653,
14200,1658,
14201,1641,
14202,16th and 17th centuries,
14203,the 16th century,
14204,the 16th century,
14205,The early 17th century,
14206,1608,
14207,1611,
14208,1639,
14209,1642,
14210,1643,
14211,1715,
14212,1661,
14213,the Thirty Years' War,
14214,1664,
14215,1667,
14216,1674,
14217,6 May 1682,
14218,October 1685,
14219,1693,
14220,1697,
14221,1701,
14222,1704,
